"","Age","Job","Marital.Status","Education","Credit","Balance..euros.","Housing.Loan","Personal.Loan","Contact","Last.Contact.Day","Last.Contact.Month","Last.Contact.Duration","Campaign","Pdays","Previous","Poutcome","Subscription"
"73",54,"management","married","secondary","no",282,"yes","yes","unknown",5,"may",154,1,-1,0,"unknown","0"
"74",55,"blue-collar","married","primary","no",23,"yes","no","unknown",5,"may",291,1,-1,0,"unknown","0"
"75",43,"technician","married","secondary","no",1937,"yes","no","unknown",5,"may",181,1,-1,0,"unknown","0"
"77",44,"blue-collar","married","secondary","no",582,"no","yes","unknown",5,"may",211,1,-1,0,"unknown","0"
"78",55,"services","divorced","secondary","no",91,"no","no","unknown",5,"may",349,1,-1,0,"unknown","0"
"79",49,"services","divorced","secondary","no",0,"yes","yes","unknown",5,"may",272,1,-1,0,"unknown","0"
"81",45,"admin.","single","secondary","no",206,"yes","no","unknown",5,"may",193,1,-1,0,"unknown","0"
"82",47,"services","divorced","secondary","no",164,"no","no","unknown",5,"may",212,1,-1,0,"unknown","0"
"84",59,"admin.","married","secondary","no",2343,"yes","no","unknown",5,"may",1042,1,-1,0,"unknown","1"
"86",51,"blue-collar","married","primary","no",173,"yes","no","unknown",5,"may",529,2,-1,0,"unknown","0"
"87",56,"admin.","married","secondary","no",45,"no","no","unknown",5,"may",1467,1,-1,0,"unknown","1"
"88",41,"technician","married","secondary","no",1270,"yes","no","unknown",5,"may",1389,1,-1,0,"unknown","1"
"90",57,"retired","married","secondary","no",486,"yes","no","unknown",5,"may",180,2,-1,0,"unknown","0"
"91",42,"management","single","secondary","no",50,"no","no","unknown",5,"may",48,1,-1,0,"unknown","0"
"92",30,"technician","married","secondary","no",152,"yes","yes","unknown",5,"may",213,2,-1,0,"unknown","0"
"93",60,"admin.","married","secondary","no",290,"yes","no","unknown",5,"may",583,1,-1,0,"unknown","0"
"94",60,"blue-collar","married","unknown","no",54,"yes","no","unknown",5,"may",221,1,-1,0,"unknown","0"
"95",57,"entrepreneur","divorced","secondary","no",-37,"no","no","unknown",5,"may",173,1,-1,0,"unknown","0"
"96",36,"management","married","tertiary","no",101,"yes","yes","unknown",5,"may",426,1,-1,0,"unknown","0"
"99",39,"technician","married","secondary","no",0,"yes","no","unknown",5,"may",203,1,-1,0,"unknown","0"
"100",46,"management","married","tertiary","no",229,"yes","no","unknown",5,"may",197,1,-1,0,"unknown","0"
"101",44,"blue-collar","married","secondary","no",-674,"yes","no","unknown",5,"may",257,1,-1,0,"unknown","0"
"102",53,"blue-collar","married","primary","no",90,"no","no","unknown",5,"may",124,1,-1,0,"unknown","0"
"103",52,"blue-collar","married","primary","no",128,"yes","no","unknown",5,"may",229,1,-1,0,"unknown","0"
"104",59,"blue-collar","married","primary","no",179,"yes","no","unknown",5,"may",55,3,-1,0,"unknown","0"
"107",47,"technician","married","tertiary","no",151,"yes","no","unknown",5,"may",190,1,-1,0,"unknown","0"
"110",45,"management","married","tertiary","no",523,"yes","no","unknown",5,"may",849,2,-1,0,"unknown","0"
"111",29,"services","divorced","secondary","no",31,"yes","no","unknown",5,"may",194,1,-1,0,"unknown","0"
"113",56,"self-employed","married","primary","no",-34,"yes","yes","unknown",5,"may",212,2,-1,0,"unknown","0"
"116",44,"blue-collar","married","secondary","no",144,"yes","no","unknown",5,"may",247,2,-1,0,"unknown","0"
"117",41,"admin.","married","secondary","no",351,"yes","no","unknown",5,"may",518,1,-1,0,"unknown","0"
"118",33,"management","single","tertiary","no",-67,"yes","no","unknown",5,"may",364,1,-1,0,"unknown","0"
"119",59,"management","divorced","tertiary","no",262,"no","no","unknown",5,"may",178,1,-1,0,"unknown","0"
"122",51,"blue-collar","married","secondary","no",26,"yes","no","unknown",5,"may",79,1,-1,0,"unknown","0"
"123",34,"admin.","married","unknown","no",3,"yes","no","unknown",5,"may",120,3,-1,0,"unknown","0"
"124",43,"services","married","secondary","no",41,"yes","yes","unknown",5,"may",127,2,-1,0,"unknown","0"
"125",52,"technician","married","tertiary","no",7,"no","yes","unknown",5,"may",175,1,-1,0,"unknown","0"
"127",29,"admin.","single","secondary","no",818,"yes","yes","unknown",5,"may",61,1,-1,0,"unknown","0"
"128",34,"services","married","secondary","no",-16,"yes","yes","unknown",5,"may",78,1,-1,0,"unknown","0"
"130",55,"services","married","secondary","no",2476,"yes","no","unknown",5,"may",579,1,-1,0,"unknown","1"
"132",32,"admin.","single","secondary","no",217,"yes","no","unknown",5,"may",345,1,-1,0,"unknown","0"
"133",38,"technician","single","secondary","no",1685,"yes","no","unknown",5,"may",185,1,-1,0,"unknown","0"
"135",28,"unemployed","single","tertiary","no",0,"yes","no","unknown",5,"may",125,2,-1,0,"unknown","0"
"136",23,"blue-collar","married","secondary","no",94,"yes","no","unknown",5,"may",193,1,-1,0,"unknown","0"
"137",32,"technician","single","secondary","no",0,"yes","no","unknown",5,"may",136,1,-1,0,"unknown","0"
"138",43,"services","single","unknown","no",0,"no","no","unknown",5,"may",73,1,-1,0,"unknown","0"
"139",32,"blue-collar","married","secondary","no",517,"yes","no","unknown",5,"may",528,1,-1,0,"unknown","0"
"140",46,"blue-collar","married","secondary","no",265,"yes","no","unknown",5,"may",541,1,-1,0,"unknown","0"
"141",53,"housemaid","divorced","primary","no",947,"yes","no","unknown",5,"may",163,1,-1,0,"unknown","0"
"142",34,"self-employed","single","secondary","no",3,"yes","no","unknown",5,"may",301,1,-1,0,"unknown","0"
"143",57,"unemployed","married","tertiary","no",42,"no","no","unknown",5,"may",46,1,-1,0,"unknown","0"
"144",37,"blue-collar","married","secondary","no",37,"yes","no","unknown",5,"may",204,1,-1,0,"unknown","0"
"146",33,"services","married","secondary","no",22,"yes","no","unknown",5,"may",71,1,-1,0,"unknown","0"
"147",56,"blue-collar","divorced","primary","no",8,"yes","no","unknown",5,"may",157,2,-1,0,"unknown","0"
"148",48,"unemployed","married","secondary","no",293,"yes","no","unknown",5,"may",243,1,-1,0,"unknown","0"
"149",43,"services","married","primary","no",3,"yes","no","unknown",5,"may",186,2,-1,0,"unknown","0"
"150",54,"blue-collar","married","primary","no",348,"yes","no","unknown",5,"may",579,2,-1,0,"unknown","0"
"151",51,"blue-collar","married","unknown","no",-19,"yes","no","unknown",5,"may",163,2,-1,0,"unknown","0"
"152",26,"student","single","secondary","no",0,"yes","no","unknown",5,"may",610,2,-1,0,"unknown","0"
"154",39,"management","married","secondary","no",18,"yes","no","unknown",5,"may",85,1,-1,0,"unknown","0"
"155",50,"technician","married","primary","no",139,"no","no","unknown",5,"may",114,2,-1,0,"unknown","0"
"156",41,"services","married","secondary","no",0,"yes","no","unknown",5,"may",114,2,-1,0,"unknown","0"
"158",60,"retired","divorced","secondary","no",216,"yes","no","unknown",5,"may",238,1,-1,0,"unknown","0"
"159",52,"blue-collar","married","secondary","no",782,"yes","no","unknown",5,"may",93,3,-1,0,"unknown","0"
"160",48,"blue-collar","married","secondary","no",904,"yes","no","unknown",5,"may",128,2,-1,0,"unknown","0"
"162",39,"technician","single","tertiary","no",47,"yes","no","unknown",5,"may",181,1,-1,0,"unknown","0"
"163",47,"services","single","secondary","no",176,"yes","no","unknown",5,"may",303,2,-1,0,"unknown","0"
"165",45,"technician","married","secondary","no",86,"yes","no","unknown",5,"may",270,1,-1,0,"unknown","0"
"166",26,"admin.","single","secondary","no",82,"yes","no","unknown",5,"may",228,1,-1,0,"unknown","0"
"168",54,"technician","married","secondary","no",1378,"yes","no","unknown",5,"may",240,1,-1,0,"unknown","0"
"170",50,"blue-collar","married","primary","no",0,"no","no","unknown",5,"may",233,3,-1,0,"unknown","0"
"174",35,"retired","single","primary","no",434,"no","no","unknown",5,"may",138,1,-1,0,"unknown","0"
"175",60,"admin.","divorced","secondary","no",92,"yes","no","unknown",5,"may",130,1,-1,0,"unknown","0"
"177",48,"unemployed","married","secondary","no",41,"yes","no","unknown",5,"may",179,2,-1,0,"unknown","0"
"178",34,"technician","married","secondary","no",51,"yes","no","unknown",5,"may",19,2,-1,0,"unknown","0"
"179",54,"services","married","secondary","no",214,"yes","no","unknown",5,"may",458,2,-1,0,"unknown","0"
"180",51,"management","married","secondary","no",1161,"yes","no","unknown",5,"may",717,1,-1,0,"unknown","0"
"182",35,"technician","divorced","secondary","no",787,"yes","no","unknown",5,"may",683,2,-1,0,"unknown","0"
"183",35,"services","married","secondary","no",59,"yes","no","unknown",5,"may",1077,1,-1,0,"unknown","0"
"185",36,"admin.","married","tertiary","no",211,"yes","no","unknown",5,"may",146,2,-1,0,"unknown","0"
"186",58,"retired","married","primary","no",235,"yes","no","unknown",5,"may",167,1,-1,0,"unknown","0"
"187",40,"services","divorced","unknown","no",4384,"yes","no","unknown",5,"may",315,1,-1,0,"unknown","0"
"189",34,"blue-collar","single","secondary","no",53,"yes","yes","unknown",5,"may",346,1,-1,0,"unknown","0"
"190",31,"management","single","tertiary","no",0,"yes","no","unknown",5,"may",562,1,-1,0,"unknown","0"
"191",51,"retired","married","secondary","no",2127,"yes","no","unknown",5,"may",172,1,-1,0,"unknown","0"
"192",33,"management","married","tertiary","no",377,"yes","no","unknown",5,"may",217,1,-1,0,"unknown","0"
"193",55,"management","married","tertiary","no",73,"yes","no","unknown",5,"may",142,2,-1,0,"unknown","0"
"195",34,"blue-collar","married","secondary","no",243,"yes","no","unknown",5,"may",291,1,-1,0,"unknown","0"
"196",33,"blue-collar","single","secondary","no",307,"yes","no","unknown",5,"may",309,2,-1,0,"unknown","0"
"199",43,"management","married","tertiary","no",400,"yes","no","unknown",5,"may",256,1,-1,0,"unknown","0"
"200",61,"blue-collar","divorced","primary","no",1428,"yes","no","unknown",5,"may",82,2,-1,0,"unknown","0"
"202",48,"self-employed","married","tertiary","no",7,"yes","no","unknown",5,"may",286,1,-1,0,"unknown","0"
"203",44,"blue-collar","married","secondary","no",575,"yes","no","unknown",5,"may",477,1,-1,0,"unknown","0"
"204",35,"student","single","unknown","no",298,"yes","no","unknown",5,"may",611,2,-1,0,"unknown","0"
"205",35,"services","married","secondary","no",0,"yes","no","unknown",5,"may",471,1,-1,0,"unknown","0"
"206",50,"services","married","secondary","no",5699,"yes","no","unknown",5,"may",381,2,-1,0,"unknown","0"
"207",41,"management","married","tertiary","no",176,"yes","yes","unknown",5,"may",42,1,-1,0,"unknown","0"
"208",41,"management","married","tertiary","no",517,"yes","no","unknown",5,"may",251,1,-1,0,"unknown","0"
"209",39,"services","single","unknown","no",257,"yes","no","unknown",5,"may",408,1,-1,0,"unknown","0"
"210",42,"retired","married","secondary","no",56,"yes","no","unknown",5,"may",215,1,-1,0,"unknown","0"
"212",53,"retired","married","secondary","no",330,"yes","no","unknown",5,"may",216,2,-1,0,"unknown","0"
"213",59,"housemaid","divorced","primary","no",195,"no","no","unknown",5,"may",366,2,-1,0,"unknown","0"
"214",36,"services","married","secondary","no",301,"yes","no","unknown",5,"may",210,1,-1,0,"unknown","0"
"215",54,"blue-collar","married","primary","no",-41,"yes","no","unknown",5,"may",288,1,-1,0,"unknown","0"
"217",47,"unknown","married","unknown","no",28,"no","no","unknown",5,"may",338,2,-1,0,"unknown","0"
"218",53,"unemployed","married","unknown","no",13,"no","no","unknown",5,"may",410,3,-1,0,"unknown","0"
"219",46,"housemaid","married","primary","no",965,"no","no","unknown",5,"may",177,1,-1,0,"unknown","0"
"220",39,"management","married","tertiary","no",378,"yes","yes","unknown",5,"may",127,2,-1,0,"unknown","0"
"221",40,"unemployed","married","secondary","no",219,"yes","no","unknown",5,"may",357,1,-1,0,"unknown","0"
"222",28,"blue-collar","married","primary","no",324,"yes","no","unknown",5,"may",175,1,-1,0,"unknown","0"
"223",35,"entrepreneur","divorced","secondary","no",-69,"yes","no","unknown",5,"may",300,1,-1,0,"unknown","0"
"224",55,"retired","married","secondary","no",0,"no","yes","unknown",5,"may",136,1,-1,0,"unknown","0"
"226",48,"blue-collar","married","primary","no",278,"yes","no","unknown",5,"may",125,2,-1,0,"unknown","0"
"227",58,"management","married","unknown","no",1065,"yes","no","unknown",5,"may",213,3,-1,0,"unknown","0"
"229",36,"blue-collar","married","unknown","no",1033,"no","no","unknown",5,"may",238,2,-1,0,"unknown","0"
"230",53,"services","divorced","secondary","no",1467,"yes","no","unknown",5,"may",124,1,-1,0,"unknown","0"
"231",47,"blue-collar","married","primary","no",-12,"yes","no","unknown",5,"may",18,1,-1,0,"unknown","0"
"232",31,"services","married","secondary","no",388,"yes","no","unknown",5,"may",730,2,-1,0,"unknown","0"
"233",57,"entrepreneur","married","secondary","no",294,"yes","no","unknown",5,"may",746,2,-1,0,"unknown","0"
"234",53,"blue-collar","married","unknown","no",1827,"no","no","unknown",5,"may",121,1,-1,0,"unknown","0"
"235",55,"blue-collar","married","primary","no",627,"yes","no","unknown",5,"may",247,1,-1,0,"unknown","0"
"236",45,"blue-collar","married","primary","no",25,"yes","no","unknown",5,"may",40,1,-1,0,"unknown","0"
"239",44,"admin.","divorced","secondary","no",66,"yes","no","unknown",5,"may",206,1,-1,0,"unknown","0"
"242",43,"entrepreneur","married","unknown","no",100,"yes","no","unknown",5,"may",702,1,-1,0,"unknown","0"
"245",49,"management","married","tertiary","no",3237,"yes","no","unknown",5,"may",232,3,-1,0,"unknown","0"
"246",42,"management","married","unknown","no",275,"no","no","unknown",5,"may",408,2,-1,0,"unknown","0"
"248",40,"management","married","tertiary","no",207,"yes","no","unknown",5,"may",39,1,-1,0,"unknown","0"
"249",39,"blue-collar","married","secondary","no",483,"yes","no","unknown",5,"may",282,1,-1,0,"unknown","0"
"250",51,"services","married","secondary","no",2248,"yes","no","unknown",5,"may",714,2,-1,0,"unknown","0"
"251",49,"admin.","married","secondary","no",428,"yes","no","unknown",5,"may",50,1,-1,0,"unknown","0"
"253",34,"services","single","secondary","no",0,"yes","no","unknown",5,"may",142,1,-1,0,"unknown","0"
"254",33,"technician","divorced","secondary","no",140,"yes","no","unknown",5,"may",227,1,-1,0,"unknown","0"
"256",39,"blue-collar","married","primary","no",279,"yes","no","unknown",5,"may",361,1,-1,0,"unknown","0"
"257",59,"entrepreneur","divorced","secondary","no",901,"yes","no","unknown",5,"may",73,3,-1,0,"unknown","0"
"258",30,"technician","single","secondary","no",2573,"yes","no","unknown",5,"may",67,2,-1,0,"unknown","0"
"259",36,"services","married","secondary","no",143,"yes","yes","unknown",5,"may",350,1,-1,0,"unknown","0"
"261",53,"blue-collar","married","secondary","no",70,"yes","no","unknown",5,"may",611,2,-1,0,"unknown","0"
"262",34,"management","single","tertiary","no",318,"yes","no","unknown",5,"may",113,2,-1,0,"unknown","0"
"264",42,"management","divorced","tertiary","no",742,"yes","no","unknown",5,"may",58,3,-1,0,"unknown","0"
"265",41,"entrepreneur","married","primary","no",236,"yes","no","unknown",5,"may",151,1,-1,0,"unknown","0"
"266",30,"student","single","tertiary","no",25,"yes","no","unknown",5,"may",89,2,-1,0,"unknown","0"
"268",39,"admin.","divorced","secondary","no",-349,"yes","no","unknown",5,"may",611,2,-1,0,"unknown","0"
"269",41,"blue-collar","married","primary","no",183,"yes","yes","unknown",5,"may",110,2,-1,0,"unknown","0"
"271",42,"management","single","tertiary","no",0,"yes","yes","unknown",5,"may",562,2,-1,0,"unknown","1"
"273",57,"technician","married","secondary","no",1078,"yes","no","unknown",5,"may",10,4,-1,0,"unknown","0"
"274",56,"entrepreneur","divorced","secondary","no",155,"no","no","unknown",5,"may",118,3,-1,0,"unknown","0"
"275",37,"admin.","married","secondary","no",190,"yes","no","unknown",5,"may",92,2,-1,0,"unknown","0"
"276",59,"retired","married","secondary","no",319,"yes","no","unknown",5,"may",143,3,-1,0,"unknown","0"
"277",39,"services","divorced","secondary","no",-185,"yes","no","unknown",5,"may",189,3,-1,0,"unknown","0"
"278",49,"services","married","secondary","no",47,"no","no","unknown",5,"may",234,2,-1,0,"unknown","0"
"282",41,"admin.","married","secondary","no",-62,"yes","yes","unknown",5,"may",55,2,-1,0,"unknown","0"
"284",58,"blue-collar","married","primary","no",76,"yes","no","unknown",5,"may",156,2,-1,0,"unknown","0"
"285",30,"blue-collar","single","secondary","no",0,"yes","no","unknown",5,"may",5,2,-1,0,"unknown","0"
"287",47,"admin.","married","secondary","no",368,"yes","no","unknown",5,"may",125,2,-1,0,"unknown","0"
"288",50,"technician","single","tertiary","no",339,"yes","no","unknown",5,"may",2,3,-1,0,"unknown","0"
"290",40,"self-employed","married","secondary","no",672,"yes","no","unknown",5,"may",164,2,-1,0,"unknown","0"
"291",37,"management","married","tertiary","no",58,"yes","no","unknown",5,"may",98,2,-1,0,"unknown","0"
"293",24,"student","single","secondary","no",423,"yes","no","unknown",5,"may",226,3,-1,0,"unknown","0"
"294",54,"management","married","tertiary","no",0,"no","no","unknown",5,"may",120,2,-1,0,"unknown","0"
"295",34,"technician","married","secondary","no",19,"yes","no","unknown",5,"may",362,4,-1,0,"unknown","0"
"296",56,"technician","divorced","primary","no",13,"yes","no","unknown",5,"may",357,2,-1,0,"unknown","0"
"297",31,"blue-collar","single","secondary","no",3,"yes","no","unknown",5,"may",200,2,-1,0,"unknown","0"
"298",24,"student","single","secondary","no",82,"yes","no","unknown",5,"may",204,2,-1,0,"unknown","0"
"299",42,"blue-collar","divorced","primary","no",28,"yes","no","unknown",5,"may",126,3,-1,0,"unknown","0"
"300",57,"technician","married","secondary","no",792,"yes","no","unknown",5,"may",65,2,-1,0,"unknown","0"
"301",42,"blue-collar","married","unknown","no",408,"yes","no","unknown",5,"may",107,2,-1,0,"unknown","0"
"302",51,"admin.","married","secondary","no",531,"yes","no","unknown",5,"may",267,2,-1,0,"unknown","0"
"303",57,"retired","married","secondary","no",211,"yes","no","unknown",5,"may",248,2,-1,0,"unknown","0"
"304",36,"services","single","secondary","no",62,"yes","no","unknown",5,"may",215,2,-1,0,"unknown","0"
"305",53,"services","married","unknown","no",257,"yes","no","unknown",5,"may",209,2,-1,0,"unknown","0"
"306",50,"technician","married","secondary","no",1234,"yes","no","unknown",5,"may",205,2,-1,0,"unknown","0"
"307",54,"management","married","tertiary","no",313,"yes","no","unknown",5,"may",83,2,-1,0,"unknown","0"
"309",44,"blue-collar","married","secondary","no",129,"yes","yes","unknown",5,"may",189,2,-1,0,"unknown","0"
"312",54,"technician","married","unknown","no",851,"yes","no","unknown",5,"may",108,2,-1,0,"unknown","0"
"313",55,"services","divorced","primary","no",96,"yes","yes","unknown",5,"may",311,2,-1,0,"unknown","0"
"314",37,"services","divorced","secondary","no",398,"yes","yes","unknown",5,"may",214,2,-1,0,"unknown","0"
"315",33,"admin.","single","tertiary","no",193,"no","no","unknown",5,"may",132,2,-1,0,"unknown","0"
"316",46,"admin.","married","secondary","no",-358,"yes","no","unknown",5,"may",358,2,-1,0,"unknown","0"
"317",36,"blue-collar","married","secondary","no",539,"yes","yes","unknown",5,"may",453,2,-1,0,"unknown","0"
"321",51,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",173,2,-1,0,"unknown","0"
"322",49,"blue-collar","married","unknown","no",403,"yes","no","unknown",5,"may",241,2,-1,0,"unknown","0"
"323",48,"management","married","secondary","no",161,"yes","no","unknown",5,"may",224,3,-1,0,"unknown","0"
"325",31,"admin.","single","secondary","no",98,"yes","no","unknown",5,"may",196,2,-1,0,"unknown","0"
"326",55,"management","single","tertiary","no",115,"no","no","unknown",5,"may",111,4,-1,0,"unknown","0"
"328",47,"technician","married","tertiary","no",831,"yes","no","unknown",5,"may",316,3,-1,0,"unknown","0"
"329",57,"technician","married","unknown","no",206,"yes","no","unknown",5,"may",216,3,-1,0,"unknown","0"
"330",41,"blue-collar","married","secondary","no",290,"yes","no","unknown",5,"may",240,2,-1,0,"unknown","0"
"331",48,"blue-collar","married","secondary","no",1,"no","no","unknown",5,"may",669,3,-1,0,"unknown","0"
"332",42,"blue-collar","married","unknown","no",57,"yes","no","unknown",5,"may",425,2,-1,0,"unknown","0"
"334",58,"management","single","tertiary","no",1387,"yes","no","unknown",5,"may",174,5,-1,0,"unknown","0"
"335",45,"management","divorced","tertiary","no",24598,"yes","no","unknown",5,"may",313,3,-1,0,"unknown","0"
"338",53,"technician","married","secondary","no",56,"yes","yes","unknown",5,"may",152,2,-1,0,"unknown","0"
"341",41,"blue-collar","single","secondary","no",842,"yes","no","unknown",5,"may",144,3,-1,0,"unknown","0"
"342",43,"management","divorced","secondary","no",693,"yes","no","unknown",5,"may",124,3,-1,0,"unknown","0"
"344",50,"blue-collar","married","primary","no",1533,"yes","no","unknown",5,"may",325,2,-1,0,"unknown","0"
"347",45,"technician","married","secondary","no",44,"yes","no","unknown",5,"may",95,4,-1,0,"unknown","0"
"348",39,"blue-collar","married","primary","no",-100,"yes","no","unknown",5,"may",680,2,-1,0,"unknown","0"
"349",44,"services","married","tertiary","no",510,"yes","no","unknown",5,"may",421,4,-1,0,"unknown","0"
"350",55,"management","married","tertiary","no",685,"yes","no","unknown",5,"may",174,3,-1,0,"unknown","0"
"353",34,"admin.","married","secondary","no",560,"yes","no","unknown",5,"may",198,3,-1,0,"unknown","0"
"355",59,"unknown","divorced","unknown","no",27,"no","no","unknown",5,"may",347,3,-1,0,"unknown","0"
"359",40,"blue-collar","married","secondary","no",211,"yes","no","unknown",5,"may",216,4,-1,0,"unknown","0"
"363",27,"services","married","secondary","no",8,"yes","no","unknown",6,"may",88,3,-1,0,"unknown","0"
"365",59,"admin.","married","secondary","no",230,"yes","no","unknown",6,"may",190,3,-1,0,"unknown","0"
"366",46,"technician","married","tertiary","no",841,"yes","no","unknown",6,"may",158,1,-1,0,"unknown","0"
"368",43,"management","divorced","tertiary","no",1,"yes","no","unknown",6,"may",306,1,-1,0,"unknown","0"
"369",38,"admin.","divorced","tertiary","no",86,"yes","no","unknown",6,"may",218,1,-1,0,"unknown","0"
"371",34,"services","married","secondary","no",22,"yes","no","unknown",6,"may",344,1,-1,0,"unknown","0"
"372",38,"admin.","married","secondary","no",46,"yes","yes","unknown",6,"may",195,1,-1,0,"unknown","0"
"373",37,"blue-collar","married","secondary","no",1293,"no","no","unknown",6,"may",652,1,-1,0,"unknown","0"
